id,title,url,publish_time,comment_num,click_num,crawl_time
13,"又突击入股 一战成名的成泉资本越来越像徐翔的泽熙","http://stock.eastmoney.com/news/1452,20171121804483087.html","2017年11月21日 13:42",25,58472,"2017-11-21 21:34:17"
14,"冲刺IPO谁将获利 锂电池的宁德时代到来？","http://stock.eastmoney.com/news/1452,20171121804454925.html","2017年11月21日 12:44",7,21734,"2017-11-21 21:34:18"
15,"贾跃亭只在谣言里被救赎吗 塔塔收购FF接近一场闹剧","http://stock.eastmoney.com/news/1452,20171121804198063.html","2017年11月21日 07:23",86,123702,"2017-11-21 21:34:18"
16,"华策影视讨回乐视2.48亿元债权 新乐视文娱业务即将盘活","http://stock.eastmoney.com/news/1452,20171121804167530.html","2017年11月21日 01:24",15,28215,"2017-11-21 21:34:18"
17,锂电池：如何从宁德IPO中淘金,"http://stock.eastmoney.com/news/1452,20171121804483496.html","2017年11月21日 13:42",13,62427,"2017-11-21 21:34:18"
18,上蹿下跳！创业板下跌0.15%收出阳十字星,"http://stock.eastmoney.com/news/1406,20171121804527076.html","2017年11月21日 15:25",9,4585,"2017-11-21 21:34:18"
19,"广汽集团一天跌掉近150亿市值 定增与解禁的危机？","http://stock.eastmoney.com/news/1628,20171121804454024.html","2017年11月21日 12:38",7,19315,"2017-11-21 21:34:18"
20,基金也为可转债打call！可转债为啥这么火？,"http://stock.eastmoney.com/news/1627,20171121804368821.html","2017年11月21日 09:48",4,7932,"2017-11-21 21:34:18"
21,"冲刺IPO谁将获利 锂电池的宁德时代到来？","http://stock.eastmoney.com/news/1448,20171121804454925.html","2017年11月21日 12:44",7,21734,"2017-11-21 21:34:18"
22,"合盛硅业负债56亿银行借款18亿 券商定价上限40元","http://stock.eastmoney.com/news/1448,20171121804443169.html","2017年11月21日 11:27",189,134889,"2017-11-21 21:34:18"
23,"今年A股IPO数量创历史新高 年内首发募集资金1944亿","http://stock.eastmoney.com/news/1448,20171121804529335.html","2017年11月21日 15:32",53,31495,"2017-11-21 21:34:18"
24,"发审委承担“无限责任” 利好资本市场","http://stock.eastmoney.com/news/1450,20171121804448634.html","2017年11月21日 11:45",9,59852,"2017-11-21 21:34:18"
25,山东出版等2只新股11月22日上市,"http://stock.eastmoney.com/news/1406,20171121804385620.html","2017年11月21日 10:03",10,35627,"2017-11-21 21:34:18"
26,奥士康等3只新股11月22日申购指南（附打新攻略）,"http://stock.eastmoney.com/news/1405,20171121804467082.html","2017年11月21日 13:22",11,90992,"2017-11-21 21:34:18"
27,结构性行情将维持多久,"http://stock.eastmoney.com/news/1407,20171121804534047.html","2017年11月21日 15:54",5,10004,"2017-11-21 21:34:18"
28,"内地资管格局重塑 港股核心资产受益","http://stock.eastmoney.com/news/1413,20171121804426059.html","2017年11月21日 11:09",5,9767,"2017-11-21 21:34:19"
29,短线还有反复,"http://stock.eastmoney.com/news/1407,20171121804543365.html","2017年11月21日 16:17",8,11490,"2017-11-21 21:34:19"
30,"高送转走强 科技股作主线","http://stock.eastmoney.com/news/1406,20171121804468025.html","2017年11月21日 13:23",6,23156,"2017-11-21 21:34:19"
31,"无视大盘震荡394只个股脱颖而出 三大特征揭示投资新趋势","http://stock.eastmoney.com/news/1411,20171121804162442.html","2017年11月21日 01:03",19,136565,"2017-11-21 21:34:19"
32,"967家公司全年业绩预喜 行业回暖及资产重组是重要推动力","http://stock.eastmoney.com/news/1411,20171121804175267.html","2017年11月21日 02:31",13,111426,"2017-11-21 21:34:19"
33,"百元股阵营扩编至23只 解密高价股强势基因","http://stock.eastmoney.com/news/1411,20171121804162925.html","2017年11月21日 01:08",13,82392,"2017-11-21 21:34:19"
34,"充电桩板块三领域机会凸显 4只龙头股率先吸金逾5亿元","http://stock.eastmoney.com/news/1411,20171121804162722.html","2017年11月21日 01:08",12,171740,"2017-11-21 21:34:19"
35,"凯普生物打响高送转第一枪 这些个股有可能接力（附表）","http://stock.eastmoney.com/news/1411,20171121804259313.html","2017年11月21日 08:02",17,161894,"2017-11-21 21:34:19"
36,"个股严重分化 逢高降低仓位","http://stock.eastmoney.com/news/1407,20171121804543664.html","2017年11月21日 16:17",5,7512,"2017-11-21 21:34:19"
37,"A股重回3400点 大盘趋势向好","http://stock.eastmoney.com/news/1406,20171121804566031.html","2017年11月21日 16:41",7,12782,"2017-11-21 21:34:19"
38,蓝筹股继续反弹,"http://stock.eastmoney.com/news/1406,20171121804544058.html","2017年11月21日 16:19",8,10497,"2017-11-21 21:34:19"
39,"10年股王轮回！8万亿中石油巨亏80% 4万亿腾讯暴涨36倍！","http://stock.eastmoney.com/news/1411,20171121804157641.html","2017年11月21日 00:12",71,163068,"2017-11-21 21:34:19"
40,今日散户最关注的前50只股票(11.21),"http://stock.eastmoney.com/news/1411,20171121804526476.html","2017年11月21日 15:15",4,15080,"2017-11-21 21:34:19"
41,今日主力资金净流出前50只股(11/21）,"http://stock.eastmoney.com/news/1411,20171121804526342.html","2017年11月21日 15:15",5,23405,"2017-11-21 21:34:19"
42,今日主力资金净流入前50只股(11/21）,"http://stock.eastmoney.com/news/1411,20171121804526281.html","2017年11月21日 15:15",4,26331,"2017-11-21 21:34:19"
43,今日散户出逃最多的前50只股票(11.21),"http://stock.eastmoney.com/news/1411,20171121804526586.html","2017年11月21日 15:15",6,16846,"2017-11-21 21:34:20"
44,"天风策略：大金融打响年末行情第一枪 银行板块进可攻退可守","http://stock.eastmoney.com/news/1408,20171121804479925.html","2017年11月21日 13:37",8,38771,"2017-11-21 21:34:20"
45,广发证券：蓝焰控股买入评级,"http://stock.eastmoney.com/news/1406,20171121804499711.html","2017年11月21日 14:02",6,11204,"2017-11-21 21:34:20"
46,广发证券：分众传媒买入评级,"http://stock.eastmoney.com/news/1406,20171121804498610.html","2017年11月21日 14:02",8,15186,"2017-11-21 21:34:20"
47,"有色钢铁行业：稀土或止跌 钢铁可配置","http://stock.eastmoney.com/news/1408,20171121804411791.html","2017年11月21日 10:45",13,51485,"2017-11-21 21:34:20"
48,"9000亿茅台自己怕了 券商高呼涨到1.85万亿！被认定误导股民！","http://stock.eastmoney.com/news/1422,20171121804198455.html","2017年11月21日 07:24",629,367520,"2017-11-21 21:34:20"
49,医药生物行业获机构集中调研,"http://stock.eastmoney.com/news/1422,20171121804192476.html","2017年11月21日 06:30",11,75848,"2017-11-21 21:34:20"
50,"天风策略：大国“智”造国之重器 掘金军工等九大板块(附股)","http://stock.eastmoney.com/news/1415,20171121804478574.html","2017年11月21日 13:34",14,129460,"2017-11-21 21:34:20"
51,"爱仕达：全球炊具龙头 布局机器人正当其时","http://stock.eastmoney.com/news/1406,20171121804497383.html","2017年11月21日 14:02",5,16377,"2017-11-21 21:34:20"
52,"复盘：家电非银领涨两市 狙击43只涨停个股(名单)","http://stock.eastmoney.com/news/1406,20171121804592641.html?qrqm=tjyd","2017年11月21日 18:54",14,31947,"2017-11-21 21:34:20"
53,"凯普生物打响高送转第一枪 这些个股有可能接力（附表）","http://stock.eastmoney.com/news/1405,20171121804259313.html","2017年11月21日 08:02",17,161894,"2017-11-21 21:34:20"
54,"我国2018年将迈出5G商用第一步 相关概念股值得关注","http://stock.eastmoney.com/news/1405,20171121804374980.html","2017年11月21日 09:55",12,80219,"2017-11-21 21:34:20"
55,"龙虎榜：机构今日买入这4股 抛售万科A逾2亿元","http://stock.eastmoney.com/news/1365,20171121804578278.html","2017年11月21日 17:26",13,47595,"2017-11-21 21:34:21"
56,A股投资逻辑在巨变中迭代升级,"http://stock.eastmoney.com/news/1405,20171121804521386.html","2017年11月21日 15:02",11,44578,"2017-11-21 21:34:21"
57,“高送转”行情值得期待,"http://stock.eastmoney.com/news/1405,20171121804171570.html","2017年11月21日 01:49",7,53731,"2017-11-21 21:34:21"
58,"券商股强势拉升 机构：板块估值仍处于历史低位","http://stock.eastmoney.com/news/1405,20171121804400127.html","2017年11月21日 16:00",15,80632,"2017-11-21 21:34:21"
59,"天风策略：大金融打响年末行情第一枪 银行板块进可攻退可守","http://stock.eastmoney.com/news/1405,20171121804479925.html","2017年11月21日 13:37",8,38771,"2017-11-21 21:34:21"
60,"可转债有序扩容 基金积极布局可转债市场","http://stock.eastmoney.com/news/1405,20171121804173597.html","2017年11月21日 02:10",7,19121,"2017-11-21 21:34:21"
61,"可转债发行煊赫一时 拟定增上市公司同期锐减51%","http://stock.eastmoney.com/news/1405,20171121804168655.html","2017年11月21日 01:40",12,63247,"2017-11-21 21:34:21"
62,"复盘：家电非银领涨两市 狙击43只涨停个股(名单)","http://stock.eastmoney.com/news/1345,20171121804592641.html","2017年11月21日 18:54",14,31947,"2017-11-21 21:34:21"
63,"中金公司：蓝筹股尚未全面泡沫化 A股中期趋势仍将积极","http://stock.eastmoney.com/news/1405,20171121804382573.html","2017年11月21日 10:00",22,42057,"2017-11-21 21:34:21"
64,市场跷跷板效应再度显现,"http://stock.eastmoney.com/news/1405,20171121804528883.html","2017年11月21日 15:29",5,15682,"2017-11-21 21:34:21"
65,"天风策略：大国“智”造国之重器 掘金军工等九大板块(附股)","http://stock.eastmoney.com/news/1405,20171121804478574.html","2017年11月21日 13:34",14,129460,"2017-11-21 21:34:21"
66,"【财富号精选】大金融拉升背后有何机会 机构扎堆看好8龙头股","http://stock.eastmoney.com/news/1405,20171121804544648.html","2017年11月21日 16:20",6,21230,"2017-11-21 21:34:21"
67,"市场运行力度突然消失 周三沪指或会收出小阴线","http://stock.eastmoney.com/news/1406,20171121804526120.html","2017年11月21日 15:20",7,27783,"2017-11-21 21:34:21"
68,谨防大盘短期再次回撤,"http://stock.eastmoney.com/news/1405,20171121804517518.html","2017年11月21日 15:00",13,30087,"2017-11-21 21:34:21"
69,"指数有继续上行动力 年报预增个股有望获得关注","http://stock.eastmoney.com/news/1405,20171121804530083.html","2017年11月21日 15:34",6,31704,"2017-11-21 21:34:22"
70,(11/21)十大名博看后市：白马股疯狂背后有玄机,"http://stock.eastmoney.com/news/1405,20171121804566573.html","2017年11月21日 16:36",23,64071,"2017-11-21 21:34:22"
71,"酷骑与小蓝单车疑被同一家公司接管 接管者身份引质疑","http://finance.eastmoney.com/news/1354,20171121804168314.html","2017年11月21日 01:36",5,22050,"2017-11-21 21:34:22"
72,上证50指数放量大涨再创反弹新高,"http://stock.eastmoney.com/news/1405,20171121804520579.html","2017年11月21日 15:00",21,37400,"2017-11-21 21:34:22"
73,"电影票房总收入突破500亿元 有电影仅收入169元","http://finance.eastmoney.com/news/1350,20171121804168289.html","2017年11月21日 01:36",7,22561,"2017-11-21 21:34:22"
74,"神华和国电完成合并重组 国企重组全面提速进入“施工期”","http://finance.eastmoney.com/news/1349,20171121804159050.html","2017年11月21日 00:42",18,93770,"2017-11-21 21:34:22"
75,"时隔四个月两市再现兜底增持 古鳌科技称已有员工咨询","http://finance.eastmoney.com/news/1349,20171121804167314.html","2017年11月21日 01:24",11,55040,"2017-11-21 21:34:22"
76,"明日股市三大猜想：“急跌慢涨”成主旋律 看好大消费白马龙头股","http://stock.eastmoney.com/news/1405,20171121804553738.html","2017年11月21日 16:31",8,42289,"2017-11-21 21:34:22"
77,"京城首套房贷款利率微升 个别银行上浮四成“吓退”贷款人","http://finance.eastmoney.com/news/1355,20171121804163384.html","2017年11月21日 02:00",31,43609,"2017-11-21 21:34:22"
78,"外资加速抢滩中国“新动能”产业 更多促外资优惠政策可期","http://finance.eastmoney.com/news/1355,20171121804159390.html","2017年11月21日 01:56",9,78718,"2017-11-21 21:34:22"
79,兰州黄河控股股东新盛投资被二股东起诉要求解散,"http://finance.eastmoney.com/news/1349,20171121804176143.html","2017年11月21日 02:19",8,9982,"2017-11-21 21:34:22"
80,"第四批PPP项目评选进行时 养老等产业受青睐","http://finance.eastmoney.com/news/1350,20171121804160783.html","2017年11月21日 06:35",6,9917,"2017-11-21 21:34:22"
81,"海通证券：市场短期触底反弹 后市预计仍有反复","http://finance.eastmoney.com/news/1370,20171121804263535.html","2017年11月21日 08:23",10,26018,"2017-11-21 21:34:23"
82,"银河证券：大盘企稳后将逐步展开反弹 择股业绩为王","http://finance.eastmoney.com/news/1370,20171121804258910.html","2017年11月21日 08:02",4,20793,"2017-11-21 21:34:23"
83,"海通证券姜超：有没有一种模式 居民杠杆一直飙升？","http://finance.eastmoney.com/news/1370,20171121804260011.html","2017年11月21日 08:05",8,46894,"2017-11-21 21:34:23"
84,"凯普生物打响高送转第一枪 这些个股有可能接力（附表）","http://money.eastmoney.com/news/1282,20171121804259313.html","2017年11月21日 08:02",17,161894,"2017-11-21 21:34:23"
85,奥瑞德借壳留后遗症？下半年业绩承诺尚有约4.6亿缺口,"http://finance.eastmoney.com/news/1349,20171121804171790.html","2017年11月21日 01:57",12,48383,"2017-11-21 21:34:23"
86,"*ST沪科资不抵债 2亿剥离资产保壳","http://finance.eastmoney.com/news/1349,20171121804181294.html","2017年11月21日 03:15",5,34956,"2017-11-21 21:34:23"
87,"全新好股权拍卖追踪：冤家再聚首 博恒投资拍完就后悔","http://finance.eastmoney.com/news/1349,20171121804180768.html","2017年11月21日 03:02",18,17348,"2017-11-21 21:34:23"
88,"贵州茅台接连出现折价大宗交易 买卖席位相同","http://finance.eastmoney.com/news/1345,20171121804595371.html","2017年11月21日 19:03",30,50039,"2017-11-21 21:34:23"
89,万达酒店：有关公司计划50亿美元出售物业的报道不实,"http://finance.eastmoney.com/news/1344,20171121804450892.html?qrqm=cjdd","2017年11月21日 12:07",54,92834,"2017-11-21 21:34:23"
90,京东方A：股东合肥建翔投资公司拟3个月内减持1%公司股份,"http://finance.eastmoney.com/news/1345,20171121804577954.html","2017年11月21日 17:25",119,118761,"2017-11-21 21:34:23"
91,"机构论市：极端走势曝光真相 A股投资逻辑在巨变中迭代升级","http://finance.eastmoney.com/news/1344,20171121804531847.html?qrqm=tjyd","2017年11月21日 15:44",90,129096,"2017-11-21 21:34:23"
92,"在富凯大厦召开的那场有关房地产闭门会 跟证监会没有半毛钱关系","http://finance.eastmoney.com/news/1344,20171121804598897.html?qrqm=tjyd","2017年11月21日 19:28",8,22505,"2017-11-21 21:34:23"
93,(11/21)晚间沪深上市公司重大事项公告最新快递,"http://finance.eastmoney.com/news/1344,20171121804582294.html?qrqm=tjyd","2017年11月21日 17:52",16,60918,"2017-11-21 21:34:23"
94,申万宏源2018年宏观经济报告：中国GDP增速仍能保持在6.7%左右,"http://finance.eastmoney.com/news/1352,20171121804548935.html?qrqm=tjyd","2017年11月21日 16:24",4,2062,"2017-11-21 21:34:23"
95,"恒指期货盘中大幅拉涨逾1000点 疑似出现乌龙指","http://finance.eastmoney.com/news/1344,20171121804579672.html?qrqm=tjyd","2017年11月21日 17:41",142,153528,"2017-11-21 21:34:23"
96,"新华时评：打破刚兑明晰风险 杜绝新规下的“擦边球”现象","http://finance.eastmoney.com/news/1345,20171121804544430.html?qrqm=tjyd","2017年11月21日 16:23",6,36094,"2017-11-21 21:34:24"
97,"住建部等三部门：坚持调控目标不动摇 防范化解房地产风险","http://finance.eastmoney.com/news/1345,20171121804571022.html?qrqm=tjyd","2017年11月21日 16:52",27,45588,"2017-11-21 21:34:24"
98,"上交所：服务实体经济重塑市场生态 减持新规实施半年收效明显","http://finance.eastmoney.com/news/1344,20171121804571990.html?qrqm=tjyd","2017年11月21日 16:55",73,187470,"2017-11-21 21:34:24"
99,"年内涨幅赛过贵州茅台 中国平安高管称仍未反映真正价值！","http://finance.eastmoney.com/news/1344,20171121804265792.html?qrqm=cjdd","2017年11月21日 08:31",78,153056,"2017-11-21 21:34:24"
100,"金融业躺着赚钱的日子到头了！大资管新政落地 六行业有致命一击","http://finance.eastmoney.com/news/1344,20171121804156964.html?qrqm=cjdd","2017年11月21日 00:00",36,521392,"2017-11-21 21:34:24"
101,"在富凯大厦召开的那场有关房地产闭门会 跟证监会没有半毛钱关系","http://finance.eastmoney.com/news/1345,20171121804598897.html","2017年11月21日 19:28",8,23496,"2017-11-21 21:34:24"
102,"传监管紧急叫停新批设网络小贷公司 趣店美股盘前暴跌","http://finance.eastmoney.com/news/1344,20171121804604474.html?qrqm=tjyd","2017年11月21日 20:12",73,42429,"2017-11-21 21:34:24"
103,"万科A尾盘封涨停股价创历史新高 成交额近33亿元","http://finance.eastmoney.com/news/1344,20171121804524529.html?qrqm=cjdd","2017年11月21日 15:15",23,53368,"2017-11-21 21:34:24"
104,"万科A股大宗交易折价8% 机构抛售游资抢筹","http://finance.eastmoney.com/news/1345,20171121804574773.html","2017年11月21日 17:03",50,69771,"2017-11-21 21:34:24"
105,"上交所：服务实体经济重塑市场生态 减持新规实施半年收效明显","http://finance.eastmoney.com/news/1345,20171121804571990.html","2017年11月21日 16:55",74,190540,"2017-11-21 21:34:24"
106,发改委副主任：要引导煤价下行并处于合理区间,"http://finance.eastmoney.com/news/1344,20171121804441845.html?qrqm=cjdd","2017年11月21日 11:28",4,38459,"2017-11-21 21:34:24"
107,"新华时评：打破刚兑明晰风险 杜绝新规下的“擦边球”现象","http://finance.eastmoney.com/news/1345,20171121804544430.html?qrqm=cjdd","2017年11月21日 16:23",6,36094,"2017-11-21 21:34:24"
108,11月21日晚间重要行业研究汇总(附股),"http://finance.eastmoney.com/news/1344,20171121804533722.html","2017年11月21日 15:42",14,44802,"2017-11-21 21:34:24"
109,(11/21)晚间沪深上市公司重大事项公告最新快递,"http://finance.eastmoney.com/news/1344,20171121804582294.html","2017年11月21日 17:52",16,60918,"2017-11-21 21:34:24"
110,11月21日晚间影响市场重要政策消息速递（附新闻联播集锦）,"http://finance.eastmoney.com/news/1344,20171121804603122.html?qrqm=cjdd","2017年11月21日 19:59",13,42587,"2017-11-21 21:34:25"
111,"住建部等三部门：坚持调控目标不动摇 防范化解房地产风险","http://finance.eastmoney.com/news/1345,20171121804571022.html?qrqm=cjdd","2017年11月21日 16:52",27,45588,"2017-11-21 21:34:25"
112,11月21日晚间上市公司利好消息一览（附名单）,"http://finance.eastmoney.com/news/1344,20171121804581634.html","2017年11月21日 17:48",15,156605,"2017-11-21 21:34:25"
113,深交所要求乐视说明若融创借款无法偿还是否将导致公司空壳化,"http://finance.eastmoney.com/news/1345,20171121804574910.html?qrqm=cjdd","2017年11月21日 17:05",200,146613,"2017-11-21 21:34:25"
114,"发审委承担“无限责任” 利好资本市场","http://finance.eastmoney.com/news/1344,20171121804448634.html","2017年11月21日 11:45",8,59239,"2017-11-21 21:34:25"
115,"方正证券2018年度策略会：新时代新周期 战略看多A股结构性牛市","http://finance.eastmoney.com/news/1345,20171121804475014.html","2017年11月21日 13:21",45,76515,"2017-11-21 21:34:25"
116,"机构论市：极端走势曝光真相 A股投资逻辑在巨变中迭代升级","http://finance.eastmoney.com/news/1344,20171121804531847.html","2017年11月21日 15:44",90,129096,"2017-11-21 21:34:25"
117,"“大金融”集体发力！万科A强势涨停 沪指重新站上3400点","http://finance.eastmoney.com/news/1366,20171121804520157.html","2017年11月21日 15:00",461,503995,"2017-11-21 21:34:25"
